,TruthSocial Trump+,TruthSocial Trump-,TruthSocial Biden+,TruthSocial Biden-,Bluesky and Mastodon Trump+,Bluesky and Mastodon Trump-,Bluesky and Mastodon Biden+,Bluesky and Mastodon Biden-
Persecution,0.2111962640554759,0.2111962640554759,0.2111962640554759,0.2111962640554759,0.02813152994721033,0.02813152994721033,0.02813152994721033,0.02813152994721033
Corruption,0.05709556415293427,0.05709556415293427,0.05709556415293427,0.05709556415293427,0.009224198197000572,0.009224198197000572,0.009224198197000572,0.009224198197000572
Accountability,-0.1812256707458273,-0.1812256707458273,-0.1812256707458273,-0.1812256707458273,0.0972907350704533,0.0972907350704533,0.0972907350704533,0.0972907350704533
Irony,0.06637717841185331,0.06637717841185331,0.06637717841185331,0.06637717841185331,0.182052603727882,0.182052603727882,0.182052603727882,0.182052603727882
Heroism,-0.06186979871301445,-0.06186979871301445,-0.06186979871301445,-0.06186979871301445,0.3117217973153448,0.3117217973153448,0.3117217973153448,0.3117217973153448
Civic_Critique,0.10675753096382525,0.10675753096382525,0.10675753096382525,0.10675753096382525,0.3916034063862066,0.3916034063862066,0.3916034063862066,0.3916034063862066
Moral_Decay,-0.06545696003981757,-0.06545696003981757,-0.06545696003981757,-0.06545696003981757,-0.03584355454871939,-0.03584355454871939,-0.03584355454871939,-0.03584355454871939
Media_Manipulation,0.21984211543213414,0.21984211543213414,0.21984211543213414,0.21984211543213414,0.05574709899885931,0.05574709899885931,0.05574709899885931,0.05574709899885931
Strategic_Pragmatism,-0.2777989024300124,-0.2777989024300124,-0.2777989024300124,-0.2777989024300124,-0.12286451638712155,-0.12286451638712155,-0.12286451638712155,-0.12286451638712155
Cultural_Identity,0.019176985631328223,0.019176985631328223,0.019176985631328223,0.019176985631328223,0.027661315152409337,0.027661315152409337,0.027661315152409337,0.027661315152409337
Intercept,4.376842505110199,4.376842505110199,4.376842505110199,4.376842505110199,0.5140341535602859,0.5140341535602859,0.5140341535602859,0.5140341535602859
